Cargando snapshot...
Analizando libros...

============================================================================================================================================
TABLA FINAL DE CRUZAMIENTO
============================================================================================================================================
ID | Titulo | Autor | Content | Pages | PDF | Patol | Dup | Sup | Clasificacion
{"id": 25, "title": "La Divina Comedia", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 26, "title": "Madame Bovary", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 27, "title": "El Conde de Montecristo", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 28, "title": "Las Mil y Una Noches", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 29, "title": "1984", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 30, "title": "Un Mundo Feliz", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 31, "title": "Fahrenheit 451", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 32, "title": "Dune", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 33, "title": "Fundaci┬¥n", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 34, "title": "Cr┬¥nicas Marcianas", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 35, "title": "Neuromante", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 36, "title": "El Juego de Ender", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 37, "title": "2001: Una Odisea del Espacio", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 38, "title": "Solaris", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 39, "title": "La Guerra de los Mundos", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 40, "title": "El Marciano", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 41, "title": "It", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 42, "title": "Dr├ƒcula", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 43, "title": "Frankenstein", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 44, "title": "El Resplandor", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 45, "title": "La Llamada de Cthulhu", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 46, "title": "El Exorcista", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 47, "title": "Cementerio de Animales", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 48, "title": "El Fantasma de la ├ïpera", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 49, "title": "La Maldici┬¥n de Hill House", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 50, "title": "Misery", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 51, "title": "Veinte Poemas de Amor y una Canci┬¥n Desesperada", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 52, "title": "Canto General", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 53, "title": "Poeta en Nueva York", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 54, "title": "Romancero Gitano", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 55, "title": "Altazor", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 56, "title": "Trilce", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 57, "title": "Los Heraldos Negros", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 58, "title": "Piedra de Sol", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 59, "title": "Hojas de Hierba", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 60, "title": "Cien Sonetos de Amor", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 61, "title": "Sapiens: De Animales a Dioses", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 62, "title": "El Arte de la Guerra", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 63, "title": "Breve Historia del Mundo", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 64, "title": "Los Conquistadores", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 65, "title": "El Diario de Ana Frank", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 66, "title": "Memorias de Adriano", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 67, "title": "Historia de Dos Ciudades", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 68, "title": "21 Lecciones para el Siglo XXI", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 69, "title": "Las Venas Abiertas de Am├Ürica Latina", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 70, "title": "El Laberinto de la Soledad", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 71, "title": "El Mundo de Sof├Øa", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 72, "title": "As├Ø Habl┬¥ Zaratustra", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 73, "title": "La Rep┬Àblica", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 74, "title": "Meditaciones", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 75, "title": "El Banquete", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 76, "title": "El Ser y la Nada", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 77, "title": "El Arte de Amar", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 78, "title": "Ôòötica para Amador", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 79, "title": "Elogio de la Locura", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 80, "title": "El Pr├Øncipe", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 81, "title": "El Alquimista", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 82, "title": "Los 7 H├ƒbitos de la Gente Altamente Efectiva", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 83, "title": "El Poder del Ahora", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 84, "title": "Padre Rico, Padre Pobre", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 85, "title": "H├ƒbitos At┬¥micos", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 86, "title": "El Monje que Vendi┬¥ su Ferrari", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 87, "title": "Piense y H├ƒgase Rico", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 88, "title": "El Sutil Arte de que No te Importe Nada", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 89, "title": "Los Cuatro Acuerdos", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 90, "title": "Inteligencia Emocional", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 91, "title": "Romeo y Julieta", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 92, "title": "Cumbres Borrascosas", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 93, "title": "Jane Eyre", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 94, "title": "El Fantasma de Canterville", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 95, "title": "Persuasi┬¥n", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 96, "title": "Las Batallas en el Desierto", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 97, "title": "Doctor Zhivago", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 98, "title": "La Dama de las Camelias", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 99, "title": "El Amor en los Tiempos de la Peste", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 100, "title": "Coraz┬¥n", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 101, "title": "La Isla del Tesoro", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 102, "title": "Veinte Mil Leguas de Viaje Submarino", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 103, "title": "El Se┬▒or de los Anillos", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 104, "title": "El Hobbit", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 105, "title": "Las Aventuras de Tom Sawyer", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 106, "title": "Robinson Crusoe", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 107, "title": "La Vuelta al Mundo en 80 D├Øas", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 108, "title": "Moby Dick", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 109, "title": "Los Tres Mosqueteros", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 110, "title": "Viaje al Centro de la Tierra", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 111, "title": "Cosmos", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
{"id": 112, "title": "Breve Historia del Tiempo", "author": null, "content_chars": null, "book_pages_count": null, "pdf_path": null, "pdf_existe": false, "pdf_size": null, "contenido_patologico": true, "grupo_duplicado": [], "candidato_superior": null, "clasificacion_final": "REVISAR", "motivo": "Contenido fabricado pero con fuente verificable (seed_books.py)"}
