ID;Titulo;Autor;Estado actual;Grupo duplicado;Copia superior;PDF registrado;PDF existe;PDF size;Contenido confiable;Paginado;Problema detectado;DECISION DEFINITIVA;Justificacion;Accion futura
117;La Estructura de las Revoluciones Cientificas;Thomas Kuhn;Seed;;;NO;NO;;NO;NO;Fabricado 200x;CONSERVAR;"Contenido original verificable en seed_books.py; protegido por auditoria";NO_TOCAR
118;La Doble Helice;James Watson;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
119;Seis Piezas Faciles;Richard Feynman;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
120;Un Punto Azul Palido;Carl Sagan;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
121;Charlie y la Fabrica de Chocolate;Roald Dahl;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
122;Matilda;Roald Dahl;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
123;Las Cronicas de Narnia: El Leon, la Bruja y el Ropero;C. S. Lewis;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
124;Harry Potter y la Piedra Filosofal;J. K. Rowling;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
125;El Diario de Greg;Jeff Kinney;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
126;James y el Melocoton Gigante;Roald Dahl;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
127;Donde Viven los Monstruos;Maurice Sendak;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
128;El Principito;Antoine de Saint-Exupery;Seed;18, 128;;NO;NO;;NO;NO;"Fabricado 200x; Duplicado";REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
129;Alicia en el Pais de las Maravillas;Lewis Carroll;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
130;Cuentos de la Selva;Horacio Quiroga;Seed;;;NO;NO;;NO;NO;Fabricado 200x;REPROCESAR_DESDE_CONTENIDO;"Seed con contenido multiplicado 200x; fuente original en seed_books.py";Reemplazar content con texto de seed_books.py y repaginar
131;Sin datos en snapshot;Desconocido;Regular;;;NO;NO;;SI;NO;Ninguno;REVISAR_MANUALMENTE;"Sin datos suficientes en snapshot; requiere verificacion manual";Verificar existencia y contenido en produccion
132;Sin datos en snapshot;Desconocido;Regular;;;NO;NO;;SI;NO;Ninguno;REVISAR_MANUALMENTE;"Sin datos suficientes en snapshot; requiere verificacion manual";Verificar existencia y contenido en produccion
133;Crimen y castigo;S/D;Placeholder;133, 159;133;NO;NO;;NO;NO;"Placeholder; Duplicado";REVISAR_MANUALMENTE;"Placeholder pero es copia superior del grupo; verificar si existe fuente alternativa";Pendiente de decision manual
134;Los heraldos negros;S/D;Placeholder;134, 147, 160;134;NO;NO;;NO;NO;"Placeholder; Duplicado";REVISAR_MANUALMENTE;"Placeholder pero es copia superior del grupo; verificar si existe fuente alternativa";Pendiente de decision manual
135;Sangre de Campe¾n: Sin Cadenas;S/D;Placeholder;135, 148, 161;135;NO;NO;;NO;NO;"Placeholder; Duplicado";REVISAR_MANUALMENTE;"Placeholder pero es copia superior del grupo; verificar si existe fuente alternativa";Pendiente de decision manual
136;Ciro Alegria   El Mundo Es Ancho Y Ajeno;S/D;Placeholder;136, 149, 162;136;NO;NO;;NO;NO;"Placeholder; Duplicado";REVISAR_MANUALMENTE;"Placeholder pero es copia superior del grupo; verificar si existe fuente alternativa";Pendiente de decision manual
137;CrimenCastigo.PDF;S/D;Placeholder;137, 150, 163;137;NO;NO;;NO;NO;"Placeholder; Duplicado";REVISAR_MANUALMENTE;"Placeholder pero es copia superior del grupo; verificar si existe fuente alternativa";Pendiente de decision manual
138;Microsoft Word - Dante Alighieri - Divina comedia.doc;S/D;Placeholder;138, 151, 164;138;NO;NO;;NO;NO;"Placeholder; Duplicado";REVISAR_MANUALMENTE;"Placeholder pero es copia superior del grupo; verificar si existe fuente alternativa";Pendiente de decision manual
139;El Caballero Carmelo;S/D;Placeholder;139, 152, 165;139;NO;NO;;NO;NO;"Placeholder; Duplicado";REVISAR_MANUALMENTE;"Placeholder pero es copia superior del grupo; verificar si existe fuente alternativa";Pendiente de decision manual
140;EL MUNDO ES ANCHO Y AJENO;S/D;Placeholder;140, 153, 166;140;NO;NO;;NO;NO;"Placeholder; Duplicado";REVISAR_MANUALMENTE;"Placeholder pero es copia superior del grupo; verificar si existe fuente alternativa";Pendiente de decision manual
141;edipo.PDF;S/D;Placeholder;141, 154, 167;141;NO;NO;;NO;NO;"Placeholder; Duplicado";REVISAR_MANUALMENTE;"Placeholder pero es copia superior del grupo; verificar si existe fuente alternativa";Pendiente de decision manual
142;Romeo y Julieta;S/D;Placeholder;142, 155, 168;142;NO;NO;;NO;NO;"Placeholder; Duplicado";REVISAR_MANUALMENTE;"Placeholder pero es copia superior del grupo; verificar si existe fuente alternativa";Pendiente de decision manual
143;ÐA CATITA;S/D;Placeholder;143, 156, 169;143;NO;NO;;NO;NO;"Placeholder; Duplicado";REVISAR_MANUALMENTE;"Placeholder pero es copia superior del grupo; verificar si existe fuente alternativa";Pendiente de decision manual
144;La Odisea;S/D;Placeholder;22, 144, 157, 170;22;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 22";Pendiente de decision manual
145;Memorias de subsuelo ;S/D;Regular;;;NO;NO;;NO;NO;Fabricado 534x;CONSERVAR;"Contenido completo y confiable; protegido por auditoria";NO_TOCAR
146;Sin datos en snapshot;Desconocido;Regular;;;NO;NO;;SI;NO;Ninguno;REVISAR_MANUALMENTE;"Sin datos suficientes en snapshot; requiere verificacion manual";Verificar existencia y contenido en produccion
147;Los heraldos negros;S/D;Placeholder;134, 147, 160;134;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 134";Pendiente de decision manual
148;Sangre de Campe¾n: Sin Cadenas;S/D;Placeholder;135, 148, 161;135;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 135";Pendiente de decision manual
149;Ciro Alegria   El Mundo Es Ancho Y Ajeno;S/D;Placeholder;136, 149, 162;136;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 136";Pendiente de decision manual
150;CrimenCastigo.PDF;S/D;Placeholder;137, 150, 163;137;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 137";Pendiente de decision manual
151;Microsoft Word - Dante Alighieri - Divina comedia.doc;S/D;Placeholder;138, 151, 164;138;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 138";Pendiente de decision manual
152;El Caballero Carmelo;S/D;Placeholder;139, 152, 165;139;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 139";Pendiente de decision manual
153;EL MUNDO ES ANCHO Y AJENO;S/D;Placeholder;140, 153, 166;140;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 140";Pendiente de decision manual
154;edipo.PDF;S/D;Placeholder;141, 154, 167;141;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 141";Pendiente de decision manual
155;Romeo y Julieta;S/D;Placeholder;142, 155, 168;142;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 142";Pendiente de decision manual
156;ÐA CATITA;S/D;Placeholder;143, 156, 169;143;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 143";Pendiente de decision manual
157;La Odisea;S/D;Placeholder;22, 144, 157, 170;22;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 22";Pendiente de decision manual
158;Noches blancas ;S/D;Regular;;;NO;NO;;NO;NO;Fabricado 379x;CONSERVAR;"Contenido completo y confiable; protegido por auditoria";NO_TOCAR
159;Crimen y castigo;S/D;Placeholder;133, 159;133;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 133";Pendiente de decision manual
160;Los heraldos negros;S/D;Placeholder;134, 147, 160;134;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 134";Pendiente de decision manual
161;Sangre de Campe¾n: Sin Cadenas;S/D;Placeholder;135, 148, 161;135;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 135";Pendiente de decision manual
162;Ciro Alegria   El Mundo Es Ancho Y Ajeno;S/D;Placeholder;136, 149, 162;136;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 136";Pendiente de decision manual
163;CrimenCastigo.PDF;S/D;Placeholder;137, 150, 163;137;NO;NO;;NO;NO;"Placeholder; Duplicado";ELIMINAR_DUPLICADO;"Placeholder y duplicado inferior; copia superior: ID 137";Pendiente de decision manual
175;Rayuelas mentales;Autor desconocido;Regular;;;SI;SI;1364423;SI;NO;Ninguno;REPROCESAR_DESDE_PDF;"Existe fuente PDF fisica valida (1,364,423 bytes); reconstruir contenido y paginacion desde PDF";Ejecutar procesamiento del PDF para extraer texto y generar book_pages
